Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.3988	2.65639
0.3989	-2.345398
0.399	-1.088472
0.3991	-11.72699
0.3992	-15.432978
0.3993	-4.068812
0.3994	-5.222074
0.3995	-13.826186
0.3996	-25.034856
0.3997	-14.888742
0.3998	-4.85925
0.3999	-1.140304
0.4	-6.841824
0.4001	-18.193032
0.4002	-25.112604
0.4003	-33.10769
0.4004	-33.250228
0.4005	-29.194374
0.4006	-17.506258
0.4007	-4.509384
0.4008	-0.492404
0.4009	-23.71314
0.401	-29.777484
0.4011	-26.032622
0.4012	-20.7328
0.4013	-11.584452
0.4014	-2.889634
0.4015	-32.33021
0.4016	-30.84004
0.4017	-20.966044
0.4018	-43.072392
0.4019	-42.69661
0.402	-22.378466
0.4021	-15.251566
0.4022	-38.446386
0.4023	-54.449516
0.4024	-33.133606
0.4025	-30.956662
0.4026	-36.113946
0.4027	-31.94147
0.4028	-25.954874
0.4029	-34.636734
0.403	-35.76408
0.4031	-33.82038
0.4032	-43.901704
0.4033	-52.920472
0.4034	-51.559882
0.4035	-40.804742
0.4036	-44.536646
0.4037	-19.864614
0.4038	-32.317252
0.4039	-57.896344
0.404	-59.969624
0.4041	-47.42628
0.4042	-59.179186
0.4043	-59.490178
0.4044	-51.235932
0.4045	-64.59563
0.4046	-48.78687
0.4047	-48.294466
0.4048	-52.894556
0.4049	-45.042008
0.405	-55.26587
0.4051	-56.846746
0.4052	-39.094286
0.4053	-32.304294
0.4054	-51.404386
0.4055	-50.886066
0.4056	-54.086692
0.4057	-63.338704
0.4058	-54.021902
0.4059	-37.992856
0.406	-52.181866
0.4061	-50.21225
0.4062	-57.07999
0.4063	-59.243976
0.4064	-59.438346
0.4065	-69.986158
0.4066	-54.475432
0.4067	-46.6488
0.4068	-64.219848
0.4069	-67.485264
0.407	-48.877576
0.4071	-22.572836
0.4072	-24.192586
0.4073	-24.244418
0.4074	-34.247994
0.4075	-38.912874
0.4076	-38.925832
0.4077	-50.056754
0.4078	-51.754252
0.4079	-39.534858
0.408	-28.974088
0.4081	-34.325742
0.4082	-24.075964
0.4083	-18.33557
0.4084	-32.693034
0.4085	-52.324404
0.4086	-31.021452
0.4087	-27.14701
0.4088	-22.663542
0.4089	-17.311888
0.409	-25.65684
0.4091	-22.819038
0.4092	-15.48481
0.4093	-32.109924
0.4094	-29.920022
0.4095	-8.953978
0.4096	-13.683648
0.4097	-16.106794
0.4098	-13.178286
0.4099	-4.807418
0.41	-7.658178
0.4101	-12.18052
0.4102	-10.547812
0.4103	-5.468276
0.4104	-8.435658
0.4105	-24.970066
0.4106	-9.822164
0.4107	7.463808
0.4108	-7.476766
0.4109	-6.271672
0.411	-11.027258
0.4111	3.978106
